2018상평월보,2018상평월,2018상중월보,2018상중월,2018하평월보,2018하평월,2018하중월보,2018하중월,2019상평월보,2019상평월,2019상중월보,2019상중월,2019하평월보,2019하평월,2019하중월보,2019하중월,2020상평월보,2020상평월,2020상중월보,2020상중월
14452,656,10700,620,14404,652,10647,615,14318,649,10641,607,14274,646,10687,604,14263,645,10670,606
15126,699,11299,664,15111,696,11233,658,15038,693,11233,650,15000,690,11299,648,15001,690,11299,651
11631,474,8193,435,11447,468,8193,431,11307,464,8163,425,11234,459,8129,420,11174,454,8042,418
19467,774,12995,732,19497,773,12870,728,19476,770,12870,723,19427,769,12995,722,19424,770,12995,722
12030,966,12963,907,12237,960,12963,907,12435,951,12963,904,12438,949,12963,895,12444,946,12963,889
10330,596,10000,603,10367,600,10000,605,10344,598,10000,603,10346,597,10000,603,10372,597,10000,603
14345,747,12906,736,14234,747,11937,724,14094,743,11937,703,14359,739,12906,703,14359,740,12906,711
21935,676,14579,646,21767,676,14579,644,21761,675,14579,639,21517,674,14579,639,21505,674,14579,640
26010,924,12637,836,26276,922,12637,829,26214,919,12637,827,26212,919,12637,827,26200,923,12637,826
13607,491,9237,446,13521,487,9237,444,13357,483,9237,436,13270,479,9237,434,13199,475,9237,434
6523,444,6751,435,6240,439,6751,432,6217,437,6751,430,6217,436,6751,428,6217,436,6751,425
8442,477,7160,443,8430,474,7160,438,8239,471,7160,439,8158,468,7160,439,8172,465,7160,439
6949,347,4566,315,6895,345,4566,315,6764,343,4411,314,6736,328,4411,301,6700,308,4333,283
9884,494,6919,451,8959,487,6919,439,8801,484,6727,435,8760,476,6535,419,8732,472,5959,419
8118,482,7650,478,8328,458,7650,467,8298,437,7737,452,8118,421,7520,431,7968,415,7280,430
3253,358,3086,348,3253,347,3086,333,3253,357,3086,342,3253,358,3086,342,3253,355,3086,342
10912,659,10118,633,10831,653,10118,625,10718,648,10118,610,10711,645,10118,606,10713,643,10118,612
